id,questions,answers
1,"Привет!","Добрый день, чем могу помочь?"
2,"Как дела?","Прекрасно, спасибо!"
3,"Пока","Хорошего дня!"
4,"Какие функции ты можешь выполнить?","Я могу чатиться с вами и отвечать на вопросы разной степени серьезности!"
5,"Какие команды ты понимаешь?","Примитивные текстовые команды, не больше одного предложения."
6,"Что нового?","Ничего, в коде очень спокойно и обычно."
7,"Какие последние новости?","Сейчас у меня нет выхода в интернет, непременно задайте мне этот вопрос через годик!"
8,"Что любишь делать?","Нравится читать книги и гулять на свежем воздухе. А у тебя есть любимое хобби?"
9,"Да","Очень здорово."
10,"Нет","Очень жаль."
11,Как настроение?,"Всё отлично, спасибо."
12,"Чем увлекаешься?","Ответами на вопросы."
13,"По сколько нынче 95 бензин?","На момент декабря 23 года - 56 рублей за литр."
14,"Где ты находишься?","Прямо в этом ноутбуке!"
15,"Какой твой любимый цвет?","Конечно же афроамериканский."
16,"Какая погода сегодня?","Сейчас у меня нет выхода в интернет, непременно задайте мне этот вопрос через годик!"
17,"Какое твоё любимое животное?","Капибары. Это самые милые и дружелюбные животные в мире!"
18,"Кто такой Ахтем?","Это главный кормилец направления IT на 3 курсе Школы Икс!"
19,"Напиши мне код","К сожаления, я такому не обучен."
20,"Как тебя зовут?","Пока что у меня нет имени. Но скоро оно появится!"
21,"Спасибо","Пожалуйста, рад помочь!"
22,"Чем занимаешься?","Отвечаю на ваши вопросы!"
23,"Отмена","Будет сделано!"
24,"Капитан Прайс","Браво 6, рубим свет."
25,"Сколько надо апельсинов, чтобы сделать мандариновый сок?","Вы что-то перепутали, вам понадобятся апельсины."
26,"Почему птицы улетают на юг?","Из-за нехватка пищи. Улетают птицы, питающиеся насекомыми. Зимой такую пищу, конечно же, не найти."
27,"Из чего делается бумага?","Древесная целлюлоза, вода и химические реагенты."
28,"Существуют ли инопланетяне?","Не могу знать."
29,"Кто президент мира?","Конечно же Владимир Владимирович Путин!"
30,"Из чего делают майонез?","Из яичного желтка, уксуса, растительного масла, соли и сахара."
31,"Меня закибербулили","Выключи комп и погуляй."
32,"Почему зимой быстро темнеет?","Полушарие значительно отклоняется от Солнца, размер угла увеличивается, и солнечные лучи проходят по поверхности Земли по касательной."
33,"На каком расстоянии находится луна от Земли?","384 400 км, Далеко, правда? Дальше только добираться до 11 корпуса ДГТУ!"
34,"Что делать если скучно?","Попробуйте что-нибудь новое!"
35,"Где живут пингвины?","Они обитают только в Антарктиде или прибрежных водах континента."
36,"Почему летом жарко, а зимой холодно?","Зимой планета находится под большим углом и поглощает меньше солнечных лучей!"
37,"В чём смысл жизни?","Вам стоит почитать труды Идущего к реке и мир станет понятен!"
38,"Какого цвета мандарин?","Оранжевый или оранжево-желтый."
39,"Как найти друзей?","Топ 1 совет - это выключить компьютер и выйти на улицу!"
40,"Женщины существуют?","Конечно! А вы не видели?"
41,"Меня зовут Ася","И вам всего хорошего!"
42,"Кто такой скуф?","Вам стоит прводить меньше времени в интернете!"
43,"Ты классный","Большое спасибо!"
44,"Хочу умереть","Позвоните 8-800-2000-122 и вам обязательно помогут!"
45,"Люблю тебя","Люблю вас 3000 раз!"